,,rho,p_val
thickness_avg,thickness_max,0.9462307891480318,0.0
thickness_max,thickness_avg,0.9462307891480318,0.0
thickness_sum,thickness_max,0.7643174284146295,1.0127897463076143e-143
thickness_max,thickness_sum,0.7643174284146295,1.0127897463076143e-143
thickness_sum,thickness_avg,0.6141283118712845,1.9481095684629875e-78
thickness_avg,thickness_sum,0.6141283118712845,1.9481095684629875e-78
thickness_l,thickness_r,-0.5609371838191908,5.720898486764671e-63
thickness_r,thickness_l,-0.5609371838191908,5.720898486764671e-63
thickness_sum,thickness_r,0.5183776425232108,1.8121464584816984e-52
thickness_r,thickness_sum,0.5183776425232108,1.8121464584816984e-52
thickness_r,thickness_max,0.440442490547648,1.060653030254866e-36
thickness_max,thickness_r,0.440442490547648,1.060653030254866e-36
thickness_sum,thickness_l,0.41716728677798287,9.903232095819593e-33
thickness_l,thickness_sum,0.41716728677798287,9.903232095819593e-33
thickness_r,thickness_avg,0.3734656090260898,4.517189195639808e-26
thickness_avg,thickness_r,0.3734656090260898,4.517189195639808e-26
thickness_max,thickness_l,0.27183401948480557,4.359823519069705e-14
thickness_l,thickness_max,0.27183401948480557,4.359823519069705e-14
thickness_avg,midlineshift,0.21926171087459054,1.4630900960565612e-09
midlineshift,thickness_avg,0.21926171087459054,1.4630900960565612e-09
age,thickness_sum,0.21910334740674636,1.5043016327903318e-09
thickness_sum,age,0.21910334740674636,1.5043016327903318e-09
thickness_max,age,0.21708641485963678,2.1388517872490204e-09
age,thickness_max,0.21708641485963678,2.1388517872490204e-09
thickness_avg,age,0.20091917946664212,3.178320289465432e-08
age,thickness_avg,0.20091917946664212,3.178320289465432e-08
thickness_l,thickness_avg,0.1976194348225055,5.3692824598850414e-08
thickness_avg,thickness_l,0.1976194348225055,5.3692824598850414e-08
thickness_max,midlineshift,0.1603641984685368,1.0913413916569245e-05
midlineshift,thickness_max,0.1603641984685368,1.0913413916569245e-05
thickness_sum,midlineshift,-0.1448727660273773,7.23047134519931e-05
midlineshift,thickness_sum,-0.1448727660273773,7.23047134519931e-05
thickness_r,age,0.12861530601696058,0.00043277484640327416
age,thickness_r,0.12861530601696058,0.00043277484640327416
inr,platelet,-0.10374216034102655,0.004589649503478613
platelet,inr,-0.10374216034102655,0.004589649503478613
age,midlineshift,-0.09969530733975919,0.006461952739933732
midlineshift,age,-0.09969530733975919,0.006461952739933732
thickness_max,platelet,-0.09931013911376156,0.006671805579511543
platelet,thickness_max,-0.09931013911376156,0.006671805579511543
platelet,midlineshift,0.09766712716992801,0.0076372936512856
midlineshift,platelet,0.09766712716992801,0.0076372936512856
platelet,thickness_sum,-0.09540892533410686,0.009167856889644076
thickness_sum,platelet,-0.09540892533410686,0.009167856889644076
inr,age,0.08502977970063934,0.020277716484299456
age,inr,0.08502977970063934,0.020277716484299456
platelet,age,-0.08265946465365975,0.02405572993071944
age,platelet,-0.08265946465365975,0.02405572993071944
thickness_avg,platelet,-0.07818236637623713,0.03287170947784457
platelet,thickness_avg,-0.07818236637623713,0.03287170947784457
thickness_l,age,0.07542184483565098,0.039581394071615865
age,thickness_l,0.07542184483565098,0.039581394071615865
midlineshift,thickness_l,-0.07312365198240621,0.04602025532804484
thickness_l,midlineshift,-0.07312365198240621,0.04602025532804484
